Date,Price,Open,High,Low,Change %
2000-01-02,1.0292,1.0052,1.0417,1.005,2.15
2000-01-09,1.0128,1.0288,1.037,1.0111,-1.59
2000-01-16,1.0091,1.0128,1.0193,1.0049,-0.37
2000-01-23,0.975,1.0026,1.0101,0.9738,-3.38
2000-01-30,0.9828,0.9779,0.9949,0.9662,0.8
2000-02-06,0.9869,0.9839,0.9969,0.9757,0.42
2000-02-13,0.9865,0.9864,0.9959,0.9764,-0.04
2000-02-20,0.9745,0.9848,1.0091,0.9723,-1.22
2000-02-27,0.9599,0.9748,0.9866,0.9392,-1.5
2000-03-05,0.963,0.9576,0.9702,0.9521,0.32
2000-03-12,0.9724,0.9627,0.9743,0.9596,0.98
2000-03-19,0.9771,0.9727,0.9778,0.9575,0.48
2000-03-26,0.9562,0.977,0.9789,0.9478,-2.14
2000-04-02,0.9549,0.9562,0.9752,0.9502,-0.14
2000-04-09,0.9623,0.9546,0.965,0.9509,0.77
2000-04-16,0.9383,0.9644,0.9673,0.9348,-2.49
2000-04-23,0.9123,0.9384,0.9451,0.9029,-2.77
2000-04-30,0.8969,0.912,0.9177,0.8846,-1.69
2000-05-07,0.9199,0.8964,0.9201,0.8914,2.56
2000-05-14,0.8974,0.9177,0.9194,0.8845,-2.45
2000-05-21,0.9312,0.8975,0.9344,0.8953,3.77
2000-05-28,0.9465,0.9324,0.9506,0.9235,1.64
2000-06-04,0.9532,0.9465,0.9705,0.9412,0.71
2000-06-11,0.9648,0.9526,0.966,0.9489,1.22
2000-06-18,0.936,0.9637,0.9697,0.9339,-2.99
2000-06-25,0.9526,0.9363,0.9603,0.9296,1.77
2000-07-02,0.9484,0.9524,0.9599,0.946,-0.44
2000-07-09,0.9383,0.9482,0.9567,0.9315,-1.06
2000-07-16,0.937,0.9382,0.9401,0.919,-0.14
2000-07-23,0.9234,0.9364,0.9451,0.9223,-1.45
2000-07-30,0.9081,0.9237,0.9295,0.8993,-1.66
2000-08-06,0.9025,0.9073,0.9146,0.8962,-0.62
2000-08-13,0.9065,0.9038,0.9187,0.8997,0.44
2000-08-20,0.9022,0.9071,0.9078,0.8907,-0.47
2000-08-27,0.8998,0.9024,0.9045,0.884,-0.27
2000-09-03,0.8662,0.8998,0.9041,0.8632,-3.73
2000-09-10,0.8536,0.8644,0.8741,0.8528,-1.45
2000-09-17,0.8761,0.8532,0.9025,0.844,2.64
2000-09-24,0.8839,0.8797,0.8887,0.871,0.89
2000-10-01,0.8685,0.8843,0.8861,0.8662,-1.74
2000-10-08,0.8563,0.8693,0.8768,0.853,-1.4
2000-10-15,0.8421,0.8548,0.8578,0.8326,-1.66
2000-10-22,0.8396,0.8414,0.8443,0.8227,-0.3
2000-10-29,0.8667,0.8411,0.88,0.8381,3.23
2000-11-05,0.8604,0.8668,0.8732,0.8516,-0.73
2000-11-12,0.8489,0.8621,0.8666,0.8474,-1.34
2000-11-19,0.8386,0.8496,0.8537,0.8372,-1.21
2000-11-26,0.8787,0.8392,0.8797,0.8384,4.78
2000-12-03,0.8863,0.8788,0.8978,0.8757,0.86
2000-12-10,0.8956,0.8825,0.9003,0.8716,1.05
2000-12-17,0.9244,0.8944,0.9265,0.8881,3.22
2000-12-24,0.9424,0.9237,0.9427,0.9197,1.95
