Date,Long,Short,Total,% Long,% Short,Net Positions
7-Apr-26,"200,946","208,487","409,433",49%,51%,"-7,541"
31-Mar-26,"200,168","199,661","399,829",50%,50%,507
24-Mar-26,"200,025","190,746","390,771",51%,49%,"9,279"
17-Mar-26,"212,886","191,754","404,640",53%,47%,"21,132"
10-Mar-26,"265,686","160,542","426,228",62%,38%,"105,144"
3-Mar-26,"294,586","158,088","452,674",65%,35%,"136,498"
24-Feb-26,"294,873","138,017","432,890",68%,32%,"156,856"
17-Feb-26,"311,549","137,069","448,618",69%,31%,"174,480"
10-Feb-26,"318,704","138,399","457,103",70%,30%,"180,305"
3-Feb-26,"302,301","138,940","441,241",69%,31%,"163,361"
27-Jan-26,"290,336","158,202","448,538",65%,35%,"132,134"
20-Jan-26,"275,235","163,540","438,775",63%,37%,"111,695"
13-Jan-26,"283,592","150,936","434,528",65%,35%,"132,656"
6-Jan-26,"298,253","135,441","433,694",69%,31%,"162,812"
30-Dec-25,"294,738","137,273","432,011",68%,32%,"157,465"
23-Dec-25,"293,179","133,288","426,467",69%,31%,"159,891"
16-Dec-25,"277,002","132,099","409,101",68%,32%,"144,903"
9-Dec-25,"268,118","129,330","397,448",67%,33%,"138,788"
2-Dec-25,"249,672","141,219","390,891",64%,36%,"108,453"
25-Nov-25,"244,392","150,321","394,713",62%,38%,"94,071"
18-Nov-25,"243,961","144,954","388,915",63%,37%,"99,007"
10-Nov-25,"235,920","162,331","398,251",59%,41%,"73,589"
4-Nov-25,"252,542","160,747","413,289",61%,39%,"91,795"
28-Oct-25,"250,400","143,067","393,467",64%,36%,"107,333"
21-Oct-25,"244,507","132,755","377,262",65%,35%,"111,752"
14-Oct-25,"243,010","134,685","377,695",64%,36%,"108,325"
7-Oct-25,"255,907","137,542","393,449",65%,35%,"118,365"
30-Sep-25,"252,530","135,161","387,691",65%,35%,"117,369"
23-Sep-25,"252,472","138,127","390,599",65%,35%,"114,345"
16-Sep-25,"253,261","135,502","388,763",65%,35%,"117,759"
9-Sep-25,"258,049","132,372","390,421",66%,34%,"125,677"
2-Sep-25,"255,660","136,068","391,728",65%,35%,"119,592"
26-Aug-25,"258,386","135,347","393,733",66%,34%,"123,039"
19-Aug-25,"252,719","133,974","386,693",65%,35%,"118,745"
12-Aug-25,"246,299","130,868","377,167",65%,35%,"115,431"
5-Aug-25,"247,357","131,398","378,755",65%,35%,"115,959"
29-Jul-25,"248,841","125,482","374,323",66%,34%,"123,359"
22-Jul-25,"248,380","122,865","371,245",67%,33%,"125,515"
15-Jul-25,"242,096","113,875","355,971",68%,32%,"128,221"
8-Jul-25,"241,125","120,529","361,654",67%,33%,"120,596"
1-Jul-25,"224,979","117,442","342,421",66%,34%,"107,537"
24-Jun-25,"223,791","112,656","336,447",67%,33%,"111,135"
17-Jun-25,"220,811","119,258","340,069",65%,35%,"101,553"
10-Jun-25,"208,754","115,729","324,483",64%,36%,"93,025"
3-Jun-25,"202,786","120,022","322,808",63%,37%,"82,764"
27-May-25,"204,326","124,852","329,178",62%,38%,"79,474"
20-May-25,"206,042","131,589","337,631",61%,39%,"74,453"
13-May-25,"209,549","124,775","334,324",63%,37%,"84,774"
6-May-25,"194,192","118,473","312,665",62%,38%,"75,719"
29-Apr-25,"196,388","120,591","316,979",62%,38%,"75,797"
22-Apr-25,"196,205","131,177","327,382",60%,40%,"65,028"
15-Apr-25,"197,103","127,823","324,926",61%,39%,"69,280"
8-Apr-25,"190,296","130,316","320,612",59%,41%,"59,980"
1-Apr-25,"183,247","131,412","314,659",58%,42%,"51,835"
25-Mar-25,"189,796","124,271","314,067",60%,40%,"65,525"
18-Mar-25,"188,952","129,527","318,479",59%,41%,"59,425"
11-Mar-25,"188,647","175,557","364,204",52%,48%,"13,090"
4-Mar-25,"185,223","195,329","380,552",49%,51%,"-10,106"
25-Feb-25,"182,699","208,124","390,823",47%,53%,"-25,425"
18-Feb-25,"170,320","221,740","392,060",43%,57%,"-51,420"
11-Feb-25,"165,594","230,019","395,613",42%,58%,"-64,425"
4-Feb-25,"162,554","221,168","383,722",42%,58%,"-58,614"
28-Jan-25,"153,660","220,264","373,924",41%,59%,"-66,604"
21-Jan-25,"167,665","230,151","397,816",42%,58%,"-62,486"
14-Jan-25,"162,760","223,157","385,917",42%,58%,"-60,397"
7-Jan-25,"166,503","230,627","397,130",42%,58%,"-64,124"
31-Dec-24,"168,806","238,370","407,176",41%,59%,"-69,564"
24-Dec-24,"159,471","227,978","387,449",41%,59%,"-68,507"
17-Dec-24,"152,671","218,566","371,237",41%,59%,"-65,895"
10-Dec-24,"157,375","232,948","390,323",40%,60%,"-75,573"
3-Dec-24,"167,693","225,182","392,875",43%,57%,"-57,489"
26-Nov-24,"156,334","212,343","368,677",42%,58%,"-56,009"
19-Nov-24,"154,305","196,862","351,167",44%,56%,"-42,557"
12-Nov-24,"160,003","167,440","327,443",49%,51%,"-7,437"
5-Nov-24,"159,900","181,553","341,453",47%,53%,"-21,653"
29-Oct-24,"159,313","209,617","368,930",43%,57%,"-50,304"
22-Oct-24,"153,159","181,683","334,842",46%,54%,"-28,524"
15-Oct-24,"169,319","152,169","321,488",53%,47%,"17,150"
8-Oct-24,"173,866","134,768","308,634",56%,44%,"39,098"
1-Oct-24,"178,273","122,946","301,219",59%,41%,"55,327"
24-Sep-24,"187,795","116,097","303,892",62%,38%,"71,698"
17-Sep-24,"182,281","112,635","294,916",62%,38%,"69,646"
10-Sep-24,"192,821","111,388","304,209",63%,37%,"81,433"
3-Sep-24,"215,969","115,951","331,920",65%,35%,"100,018"
27-Aug-24,"218,381","125,543","343,924",63%,37%,"92,838"
20-Aug-24,"194,350","138,333","332,683",58%,42%,"56,017"
13-Aug-24,"182,212","155,229","337,441",54%,46%,"26,983"
6-Aug-24,"185,799","152,219","338,018",55%,45%,"33,580"
30-Jul-24,"183,006","165,207","348,213",53%,47%,"17,799"
23-Jul-24,"188,929","153,023","341,952",55%,45%,"35,906"
16-Jul-24,"179,937","155,188","335,125",54%,46%,"24,749"
9-Jul-24,"165,829","162,206","328,035",51%,49%,"3,623"
2-Jul-24,"164,369","173,888","338,257",49%,51%,"-9,519"
25-Jun-25,"167,370","175,801","343,171",49%,51%,"-8,431"
18-Jun-24,"171,464","163,513","334,977",51%,49%,"7,951"
11-Jun-24,"187,697","144,053","331,750",57%,43%,"43,644"
4-Jun-24,"188,957","121,087","310,044",61%,39%,"67,870"
28-May-24,"184,656","127,084","311,740",59%,41%,"57,572"
21-May-24,"182,574","141,099","323,673",56%,44%,"41,475"
14-May-24,"178,398","161,243","339,641",53%,47%,"17,155"
7-May-24,"170,594","166,004","336,598",51%,49%,"4,590"
30-Apr-24,"167,185","173,962","341,147",49%,51%,"-6,777"
23-Apr-24,"167,296","177,285","344,581",49%,51%,"-9,989"
16-Apr-24,"178,912","166,688","345,600",52%,48%,"12,224"
9-Apr-24,"175,419","142,696","318,115",55%,45%,"32,723"
2-Apr-24,"188,258","171,464","359,722",52%,48%,"16,794"
26-Mar-24,"180,193","148,999","329,192",55%,45%,"31,194"
19-Mar-24,"182,382","134,040","316,422",58%,42%,"48,342"
12-Mar-24,"193,998","119,591","313,589",62%,38%,"74,407"
5-Mar-24,"200,025","133,714","333,739",60%,40%,"66,311"
27-Feb-24,"205,234","142,380","347,614",59%,41%,"62,854"
20-Feb-24,"213,194","145,178","358,372",59%,41%,"68,016"
13-Feb-24,"210,848","158,010","368,858",57%,43%,"52,838"
6-Feb-24,"202,450","140,297","342,747",59%,41%,"62,153"
30-Jan-24,"200,360","111,589","311,949",64%,36%,"88,771"
23-Jan-24,"195,190","106,866","302,056",65%,35%,"88,324"
16-Jan-24,"204,294","100,202","304,496",67%,33%,"104,092"
9-Jan-24,"208,473","89,596","298,069",70%,30%,"118,877"
2-Jan-24,"211,912","92,436","304,348",70%,30%,"119,476"
26-Dec-23,"211,195","93,804","304,999",69%,31%,"117,391"
19-Dec-23,"208,078","93,486","301,564",69%,31%,"114,592"
12-Dec-23,"231,837","84,510","316,347",73%,27%,"147,327"
5-Dec-23,"235,684","83,324","319,008",74%,26%,"152,360"
28-Nov-23,"233,454","90,289","323,743",72%,28%,"143,165"
21-Nov-23,"231,095","101,441","332,536",69%,31%,"129,654"
14-Nov-23,"221,190","112,283","333,473",66%,34%,"108,907"
7-Nov-23,"212,483","123,427","335,910",63%,37%,"89,056"
31-Oct-23,"210,834","125,445","336,279",63%,37%,"85,389"
24-Oct-23,"215,569","130,316","345,885",62%,38%,"85,253"
17-Oct-23,"214,313","131,903","346,216",62%,38%,"82,410"
10-Oct-23,"207,522","131,990","339,512",61%,39%,"75,532"
3-Oct-23,"211,783","132,840","344,623",61%,39%,"78,943"
26-Sep-23,"211,516","113,117","324,633",65%,35%,"98,399"
19-Sep-23,"207,424","105,443","312,867",66%,34%,"101,981"
